시도,시군구,계약종별,년도,월,전력 사용량
서울특별시,종로구,주택용,2015,1,24148189.0
서울특별시,종로구,주택용,2015,2,23083847.0
서울특별시,종로구,주택용,2015,3,20331649.0
서울특별시,종로구,주택용,2015,4,20731205.0
서울특별시,종로구,주택용,2015,5,19504046.0
서울특별시,종로구,주택용,2015,6,20608775.0
서울특별시,종로구,주택용,2015,7,22198422.0
서울특별시,종로구,주택용,2015,8,26138176.0
서울특별시,종로구,주택용,2015,9,22806253.0
서울특별시,종로구,주택용,2015,10,19532001.0
서울특별시,종로구,주택용,2015,11,20151238.0
서울특별시,종로구,주택용,2015,12,21357835.0
서울특별시,종로구,일반용,2015,1,118133726.0
서울특별시,종로구,일반용,2015,2,108137268.0
서울특별시,종로구,일반용,2015,3,97702442.0
서울특별시,종로구,일반용,2015,4,91920361.0
서울특별시,종로구,일반용,2015,5,88113897.0
서울특별시,종로구,일반용,2015,6,101708190.0
서울특별시,종로구,일반용,2015,7,113814618.0
서울특별시,종로구,일반용,2015,8,123134333.0
서울특별시,종로구,일반용,2015,9,109709164.0
서울특별시,종로구,일반용,2015,10,90713735.0
서울특별시,종로구,일반용,2015,11,89816489.0
서울특별시,종로구,일반용,2015,12,103359821.0
서울특별시,종로구,교육용,2015,1,9619909.0
서울특별시,종로구,교육용,2015,2,9134874.0
서울특별시,종로구,교육용,2015,3,7877886.0
서울특별시,종로구,교육용,2015,4,7528174.0
서울특별시,종로구,교육용,2015,5,6553731.0
서울특별시,종로구,교육용,2015,6,7895442.0
서울특별시,종로구,교육용,2015,7,8599190.0
서울특별시,종로구,교육용,2015,8,8962583.0
서울특별시,종로구,교육용,2015,9,8752875.0
서울특별시,종로구,교육용,2015,10,6779537.0
서울특별시,종로구,교육용,2015,11,7080494.0
서울특별시,종로구,교육용,2015,12,8749458.0
서울특별시,종로구,산업용,2015,1,6580369.0
서울특별시,종로구,산업용,2015,2,6670621.0
서울특별시,종로구,산업용,2015,3,5982242.0
서울특별시,종로구,산업용,2015,4,6721819.0
서울특별시,종로구,산업용,2015,5,5823373.0
서울특별시,종로구,산업용,2015,6,6064528.0
서울특별시,종로구,산업용,2015,7,5882294.0
서울특별시,종로구,산업용,2015,8,6096980.0
서울특별시,종로구,산업용,2015,9,6683300.0
서울특별시,종로구,산업용,2015,10,5281388.0
서울특별시,종로구,산업용,2015,11,5743682.0
서울특별시,종로구,산업용,2015,12,6227976.0
서울특별시,종로구,농사용,2015,1,2848.0
서울특별시,종로구,농사용,2015,2,2465.0
서울특별시,종로구,농사용,2015,3,1496.0
서울특별시,종로구,농사용,2015,4,1751.0
서울특별시,종로구,농사용,2015,5,1718.0
서울특별시,종로구,농사용,2015,6,2401.0
서울특별시,종로구,농사용,2015,7,2329.0
서울특별시,종로구,농사용,2015,8,2501.0
서울특별시,종로구,농사용,2015,9,2285.0
서울특별시,종로구,농사용,2015,10,2138.0
서울특별시,종로구,농사용,2015,11,2142.0
서울특별시,종로구,농사용,2015,12,1940.0
서울특별시,종로구,가로등,2015,1,1146090.0
서울특별시,종로구,가로등,2015,2,1075102.0
서울특별시,종로구,가로등,2015,3,952962.0
서울특별시,종로구,가로등,2015,4,927062.0
서울특별시,종로구,가로등,2015,5,843043.0
서울특별시,종로구,가로등,2015,6,815751.0
서울특별시,종로구,가로등,2015,7,800183.0
서울특별시,종로구,가로등,2015,8,850694.0
서울특별시,종로구,가로등,2015,9,909157.0
서울특별시,종로구,가로등,2015,10,968991.0
서울특별시,종로구,가로등,2015,11,1043462.0
서울특별시,종로구,가로등,2015,12,1090879.0
서울특별시,종로구,심 야,2015,1,4822017.0
서울특별시,종로구,심 야,2015,2,4528148.0
서울특별시,종로구,심 야,2015,3,3736099.0
서울특별시,종로구,심 야,2015,4,3097673.0
서울특별시,종로구,심 야,2015,5,3517895.0
서울특별시,종로구,심 야,2015,6,4918544.0
서울특별시,종로구,심 야,2015,7,6247907.0
서울특별시,종로구,심 야,2015,8,6238675.0
서울특별시,종로구,심 야,2015,9,4851871.0
서울특별시,종로구,심 야,2015,10,2935359.0
서울특별시,종로구,심 야,2015,11,2281081.0
서울특별시,종로구,심 야,2015,12,3320642.0
서울특별시,중구,주택용,2015,1,17429254.0
서울특별시,중구,주택용,2015,2,16820491.0
서울특별시,중구,주택용,2015,3,14805947.0
서울특별시,중구,주택용,2015,4,15084063.0
서울특별시,중구,주택용,2015,5,14068375.0
서울특별시,중구,주택용,2015,6,14849087.0
서울특별시,중구,주택용,2015,7,15852565.0
서울특별시,중구,주택용,2015,8,18920164.0
서울특별시,중구,주택용,2015,9,16515526.0
서울특별시,중구,주택용,2015,10,14049726.0
서울특별시,중구,주택용,2015,11,14730532.0
서울특별시,중구,주택용,2015,12,15653614.0
서울특별시,중구,일반용,2015,1,179084402.0
서울특별시,중구,일반용,2015,2,161309495.0
서울특별시,중구,일반용,2015,3,152548419.0
서울특별시,중구,일반용,2015,4,144680104.0
서울특별시,중구,일반용,2015,5,144934055.0
서울특별시,중구,일반용,2015,6,164958786.0
서울특별시,중구,일반용,2015,7,183362948.0
서울특별시,중구,일반용,2015,8,191944670.0
서울특별시,중구,일반용,2015,9,172954459.0
서울특별시,중구,일반용,2015,10,146058749.0
서울특별시,중구,일반용,2015,11,140121460.0
서울특별시,중구,일반용,2015,12,159086751.0
서울특별시,중구,교육용,2015,1,5433375.0
서울특별시,중구,교육용,2015,2,4635007.0
서울특별시,중구,교육용,2015,3,4178012.0
서울특별시,중구,교육용,2015,4,3327941.0
서울특별시,중구,교육용,2015,5,2786720.0
서울특별시,중구,교육용,2015,6,3426306.0
서울특별시,중구,교육용,2015,7,3604471.0
서울특별시,중구,교육용,2015,8,3584793.0
서울특별시,중구,교육용,2015,9,3688080.0
서울특별시,중구,교육용,2015,10,2869300.0
서울특별시,중구,교육용,2015,11,3313219.0
