시도,시군구,계약종별,년도,월,전력 사용량 예측
서울특별시,종로구,주택용,2015,1,23519492.28
서울특별시,종로구,일반용,2015,1,113827465.72
서울특별시,종로구,농사용,2015,1,5351.33
서울특별시,종로구,심 야,2015,1,3772593.97
서울특별시,중구,주택용,2015,1,17692796.41
서울특별시,용산구,주택용,2015,1,35135722.94
서울특별시,성동구,산업용,2015,1,58428318.23
서울특별시,동대문구,산업용,2015,1,15223578.85
서울특별시,동대문구,심 야,2015,1,1287645.72
서울특별시,성북구,주택용,2015,1,52894951.25
서울특별시,성북구,심 야,2015,1,2579018.03
서울특별시,도봉구,교육용,2015,1,4424720.57
서울특별시,은평구,일반용,2015,1,49595662.15
서울특별시,은평구,농사용,2015,1,11470.61
서울특별시,은평구,가로등,2015,1,1118941.39
서울특별시,서대문구,심 야,2015,1,1304319.39
서울특별시,강서구,주택용,2015,1,66956571.94
서울특별시,강서구,일반용,2015,1,90532046.22
서울특별시,강서구,교육용,2015,1,3793851.31
서울특별시,강서구,심 야,2015,1,1260660.46
서울특별시,구로구,농사용,2015,1,27014.64
서울특별시,구로구,가로등,2015,1,1149256.11
서울특별시,영등포구,주택용,2015,1,48350773.99
서울특별시,영등포구,교육용,2015,1,4027111.9
서울특별시,영등포구,산업용,2015,1,20804208.81
서울특별시,영등포구,가로등,2015,1,1838987.47
서울특별시,영등포구,심 야,2015,1,1814610.37
서울특별시,동작구,주택용,2015,1,45284525.3
서울특별시,동작구,교육용,2015,1,7473230.57
서울특별시,동작구,심 야,2015,1,1449820.04
서울특별시,관악구,일반용,2015,1,67872168.85
서울특별시,관악구,심 야,2015,1,1464058.31
서울특별시,강남구,주택용,2015,1,73764713.28
서울특별시,강남구,산업용,2015,1,28432927.01
서울특별시,강남구,농사용,2015,1,184225.08
서울특별시,강남구,가로등,2015,1,2467763.77
서울특별시,강남구,심 야,2015,1,1982272.73
서울특별시,강동구,가로등,2015,1,1173092.34
서울특별시,송파구,일반용,2015,1,131721406.75
서울특별시,송파구,교육용,2015,1,7925379.46
서울특별시,송파구,농사용,2015,1,249797.37
서울특별시,중랑구,교육용,2015,1,4569335.0
서울특별시,중랑구,산업용,2015,1,7152153.63
서울특별시,중랑구,가로등,2015,1,1215934.76
서울특별시,노원구,교육용,2015,1,7234459.96
서울특별시,서초구,주택용,2015,1,58945483.15
서울특별시,서초구,가로등,2015,1,2418067.34
서울특별시,양천구,일반용,2015,1,70977475.98
서울특별시,양천구,농사용,2015,1,9251.34
서울특별시,광진구,가로등,2015,1,1003877.41
서울특별시,강북구,가로등,2015,1,612462.51
서울특별시,금천구,주택용,2015,1,26132531.52
서울특별시,금천구,가로등,2015,1,799792.91
서울특별시,금천구,심 야,2015,1,1062924.11
서울특별시,종로구,교육용,2015,2,5427929.24
서울특별시,종로구,심 야,2015,2,3179312.51
서울특별시,중구,주택용,2015,2,17919040.32
서울특별시,중구,일반용,2015,2,159940486.85
서울특별시,중구,심 야,2015,2,1096360.46
서울특별시,용산구,주택용,2015,2,35386645.71
서울특별시,성동구,주택용,2015,2,36623988.23
서울특별시,성동구,교육용,2015,2,5689377.11
서울특별시,성동구,농사용,2015,2,96.39
서울특별시,성동구,가로등,2015,2,1144016.87
서울특별시,성동구,심 야,2015,2,1018284.99
서울특별시,동대문구,산업용,2015,2,14817863.59
서울특별시,성북구,교육용,2015,2,8389331.39
서울특별시,성북구,농사용,2015,2,10415.74
서울특별시,도봉구,일반용,2015,2,32176643.13
서울특별시,도봉구,교육용,2015,2,3060295.7
