시도,시군구,계약종별,년도,월,전력 사용량
서울특별시,종로구,주택용,2021,1월,25471662.0
서울특별시,종로구,주택용,2021,2월,23888545.0
서울특별시,종로구,주택용,2021,3월,20316994.0
서울특별시,종로구,주택용,2021,4월,20139886.0
서울특별시,종로구,주택용,2021,5월,19260662.0
서울특별시,종로구,주택용,2021,6월,21028845.0
서울특별시,종로구,주택용,2021,7월,26187114.0
서울특별시,종로구,주택용,2021,8월,33052390.0
서울특별시,종로구,주택용,2021,9월,24066790.0
서울특별시,종로구,주택용,2021,10월,20445031.0
서울특별시,종로구,주택용,2021,11월,20212978.0
서울특별시,종로구,주택용,2021,12월,21849769.0
서울특별시,종로구,일반용,2021,1월,113082168.0
서울특별시,종로구,일반용,2021,2월,103460106.0
서울특별시,종로구,일반용,2021,3월,90283166.0
서울특별시,종로구,일반용,2021,4월,84892275.0
서울특별시,종로구,일반용,2021,5월,82623201.0
서울특별시,종로구,일반용,2021,6월,95379420.0
서울특별시,종로구,일반용,2021,7월,111593855.0
서울특별시,종로구,일반용,2021,8월,118671522.0
서울특별시,종로구,일반용,2021,9월,100688805.0
서울특별시,종로구,일반용,2021,10월,87018442.0
서울특별시,종로구,일반용,2021,11월,87190341.0
서울특별시,종로구,일반용,2021,12월,101720462.0
서울특별시,종로구,교육용,2021,1월,10072542.0
서울특별시,종로구,교육용,2021,2월,9169051.0
서울특별시,종로구,교육용,2021,3월,7446466.0
서울특별시,종로구,교육용,2021,4월,6761511.0
서울특별시,종로구,교육용,2021,5월,6071807.0
서울특별시,종로구,교육용,2021,6월,7468499.0
서울특별시,종로구,교육용,2021,7월,8634914.0
서울특별시,종로구,교육용,2021,8월,9043834.0
서울특별시,종로구,교육용,2021,9월,8551869.0
서울특별시,종로구,교육용,2021,10월,6928568.0
서울특별시,종로구,교육용,2021,11월,7391518.0
서울특별시,종로구,교육용,2021,12월,9188864.0
서울특별시,종로구,산업용,2021,1월,6243796.0
서울특별시,종로구,산업용,2021,2월,6435682.0
서울특별시,종로구,산업용,2021,3월,5950803.0
서울특별시,종로구,산업용,2021,4월,6422580.0
서울특별시,종로구,산업용,2021,5월,5661896.0
서울특별시,종로구,산업용,2021,6월,5860405.0
서울특별시,종로구,산업용,2021,7월,6473303.0
서울특별시,종로구,산업용,2021,8월,6743565.0
서울특별시,종로구,산업용,2021,9월,6368171.0
서울특별시,종로구,산업용,2021,10월,5425599.0
서울특별시,종로구,산업용,2021,11월,5552168.0
서울특별시,종로구,산업용,2021,12월,6147328.0
서울특별시,종로구,농사용,2021,1월,5390.0
서울특별시,종로구,농사용,2021,2월,5073.0
서울특별시,종로구,농사용,2021,3월,3401.0
서울특별시,종로구,농사용,2021,4월,2288.0
서울특별시,종로구,농사용,2021,5월,2830.0
