,시도,시군구,계약종별,년도,월,전력 사용량
0,서울특별시,종로구,주택용,2022,1월,24799032.0
1,서울특별시,종로구,일반용,2022,1월,117205665.0
2,서울특별시,종로구,교육용,2022,1월,11064107.0
3,서울특별시,종로구,산업용,2022,1월,6881320.0
4,서울특별시,종로구,농사용,2022,1월,4955.0
5,서울특별시,종로구,가로등,2022,1월,828232.0
6,서울특별시,종로구,심 야,2022,1월,2539642.0
7,서울특별시,중구,주택용,2022,1월,19557533.0
8,서울특별시,중구,일반용,2022,1월,164177193.0
9,서울특별시,중구,교육용,2022,1월,5986439.0
10,서울특별시,중구,산업용,2022,1월,21725401.0
11,서울특별시,중구,가로등,2022,1월,940217.0
12,서울특별시,중구,심 야,2022,1월,743050.0
13,서울특별시,용산구,주택용,2022,1월,39010442.0
14,서울특별시,용산구,일반용,2022,1월,80627001.0
15,서울특별시,용산구,교육용,2022,1월,5963234.0
16,서울특별시,용산구,산업용,2022,1월,10025340.0
17,서울특별시,용산구,농사용,2022,1월,83202.0
18,서울특별시,용산구,가로등,2022,1월,1144376.0
19,서울특별시,용산구,심 야,2022,1월,706785.0
20,서울특별시,성동구,주택용,2022,1월,40844723.0
21,서울특별시,성동구,일반용,2022,1월,75914047.0
22,서울특별시,성동구,교육용,2022,1월,8433686.0
23,서울특별시,성동구,산업용,2022,1월,80206457.0
24,서울특별시,성동구,농사용,2022,1월,9641.0
25,서울특별시,성동구,가로등,2022,1월,981375.0
26,서울특별시,성동구,심 야,2022,1월,416043.0
27,서울특별시,동대문구,주택용,2022,1월,47887294.0
28,서울특별시,동대문구,일반용,2022,1월,61759917.0
29,서울특별시,동대문구,교육용,2022,1월,10186200.0
30,서울특별시,동대문구,산업용,2022,1월,16272057.0
31,서울특별시,동대문구,농사용,2022,1월,16841.0
32,서울특별시,동대문구,가로등,2022,1월,907952.0
33,서울특별시,동대문구,심 야,2022,1월,662514.0
34,서울특별시,성북구,주택용,2022,1월,56977008.0
35,서울특별시,성북구,일반용,2022,1월,52919867.0
36,서울특별시,성북구,교육용,2022,1월,18752248.0
37,서울특별시,성북구,산업용,2022,1월,9330288.0
38,서울특별시,성북구,농사용,2022,1월,3057.0
39,서울특별시,성북구,가로등,2022,1월,1225628.0
40,서울특별시,성북구,심 야,2022,1월,1932917.0
41,서울특별시,도봉구,주택용,2022,1월,39864622.0
42,서울특별시,도봉구,일반용,2022,1월,34419700.0
43,서울특별시,도봉구,교육용,2022,1월,4169044.0
44,서울특별시,도봉구,산업용,2022,1월,5050173.0
45,서울특별시,도봉구,농사용,2022,1월,27280.0
46,서울특별시,도봉구,가로등,2022,1월,611721.0
47,서울특별시,도봉구,심 야,2022,1월,453460.0
48,서울특별시,은평구,주택용,2022,1월,61519867.0
49,서울특별시,은평구,일반용,2022,1월,53601340.0
50,서울특별시,은평구,교육용,2022,1월,5194036.0
51,서울특별시,은평구,산업용,2022,1월,16927638.0
52,서울특별시,은평구,농사용,2022,1월,23566.0
53,서울특별시,은평구,가로등,2022,1월,763778.0
54,서울특별시,은평구,심 야,2022,1월,1088702.0
55,서울특별시,서대문구,주택용,2022,1월,42148289.0
56,서울특별시,서대문구,일반용,2022,1월,54840924.0
57,서울특별시,서대문구,교육용,2022,1월,18538105.0
58,서울특별시,서대문구,산업용,2022,1월,2873796.0
59,서울특별시,서대문구,농사용,2022,1월,2927.0
60,서울특별시,서대문구,가로등,2022,1월,742622.0
61,서울특별시,서대문구,심 야,2022,1월,618953.0
62,서울특별시,마포구,주택용,2022,1월,55498358.0
63,서울특별시,마포구,일반용,2022,1월,129714582.0
64,서울특별시,마포구,교육용,2022,1월,6738228.0
65,서울특별시,마포구,산업용,2022,1월,12599525.0
66,서울특별시,마포구,농사용,2022,1월,5664.0
67,서울특별시,마포구,가로등,2022,1월,1254210.0
68,서울특별시,마포구,심 야,2022,1월,1350402.0
69,서울특별시,강서구,주택용,2022,1월,74358729.0
70,서울특별시,강서구,일반용,2022,1월,134532532.0
71,서울특별시,강서구,교육용,2022,1월,6832343.0
72,서울특별시,강서구,산업용,2022,1월,29790995.0
73,서울특별시,강서구,농사용,2022,1월,374499.0
74,서울특별시,강서구,가로등,2022,1월,1345688.0
75,서울특별시,강서구,심 야,2022,1월,1074866.0
76,서울특별시,구로구,주택용,2022,1월,55649156.0
77,서울특별시,구로구,일반용,2022,1월,87163055.0
78,서울특별시,구로구,교육용,2022,1월,4840537.0
79,서울특별시,구로구,산업용,2022,1월,35172889.0
80,서울특별시,구로구,농사용,2022,1월,70849.0
81,서울특별시,구로구,가로등,2022,1월,996782.0
82,서울특별시,구로구,심 야,2022,1월,570167.0
83,서울특별시,영등포구,주택용,2022,1월,57982571.0
84,서울특별시,영등포구,일반용,2022,1월,165776558.0
85,서울특별시,영등포구,교육용,2022,1월,3540178.0
86,서울특별시,영등포구,산업용,2022,1월,20427922.0
87,서울특별시,영등포구,농사용,2022,1월,2592.0
88,서울특별시,영등포구,가로등,2022,1월,1413996.0
89,서울특별시,영등포구,심 야,2022,1월,1796924.0
90,서울특별시,동작구,주택용,2022,1월,49222951.0
91,서울특별시,동작구,일반용,2022,1월,54794108.0
92,서울특별시,동작구,교육용,2022,1월,9554403.0
93,서울특별시,동작구,산업용,2022,1월,4640714.0
94,서울특별시,동작구,농사용,2022,1월,27479.0
95,서울특별시,동작구,가로등,2022,1월,757169.0
96,서울특별시,동작구,심 야,2022,1월,725561.0
97,서울특별시,관악구,주택용,2022,1월,60639803.0
