지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균현지기압(hPa),평균해면기압(hPa),평균수증기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),평균지면온도(°C)
90,속초,2018-01,-1.4,2.8,1018.5,1020.8,2.3,37,3.9,2,,,214.7,70.26,,-.9
90,속초,2018-02,-.5,3.9,1018.8,1021.1,2.8,43,54.4,2.1,,,218.5,72.4,,.6
90,속초,2018-03,8,12.5,1017.3,1019.5,6.2,59,55,2.2,,,171.2,46.17,,8.5
90,속초,2018-04,13,18.8,1012.2,1014.4,7.9,57,141.7,2.3,,,227.6,57.47,,14.9
90,속초,2018-05,15.9,20.7,1009,1011.1,13.1,75,123.6,2,,,186.4,42.2,,19.1
90,속초,2018-06,21.3,25.9,1005.3,1007.4,17.7,72,46.5,1.7,,,208.8,47.1,,26.9
90,속초,2018-07,25,28.7,1006.9,1009,25.7,82,185.4,1.6,,,209.3,46.45,,29.4
90,속초,2018-08,25.6,29.2,1005.9,1007.9,26.9,82,625,1.6,6,3.3,185.3,43.85,,28.6
90,속초,2018-09,20,23.8,1011.6,1013.7,17,73,66.1,1.5,5.5,2.9,196.1,52.52,,23.2
90,속초,2018-10,13.5,17.9,1015.7,1017.9,9.6,61,257.6,1.8,3.6,2.4,229.5,65.99,,14.1
90,속초,2018-11,9.2,13.3,1020.1,1022.3,7,57,207.4,1.6,4.1,3.1,165.7,54.47,,7.8
90,속초,2018-12,1.6,5.8,1022.5,1024.8,3.3,42,10.4,1.8,3.4,2,208,70.2,,.8
90,속초,2019-01,1.7,6.3,1020.4,1022.7,2.4,35,8.7,1.9,2.9,1.8,232.1,76.02,,1.3
90,속초,2019-02,2.5,6.5,1020,1022.3,3.7,49,27.6,1.8,4,2.6,215.2,71.38,,2.6
90,속초,2019-03,8.2,13.1,1012.9,1015.1,5.4,51,44.4,2.1,4.3,2.5,233.1,62.93,,8.4
90,속초,2019-04,11.9,16.6,1011.9,1014.1,7.5,55,80.9,2.1,5.1,3.2,230.5,58.27,,13.5
90,속초,2019-05,19.8,25,1007.6,1009.7,11.2,52,5.7,2.2,4,1.9,296.2,67.06,,24.1
90,속초,2019-06,20,24.1,1005.1,1007.2,18.1,78,97.8,1.8,5.5,3.4,224.8,50.72,,24.3
90,속초,2019-07,24.7,28,1004,1006,24.4,80,234.4,1.7,6.4,3.9,196,43.49,,27.4
90,속초,2019-08,25.7,29.4,1004.7,1006.7,25.6,78,293.5,1.7,5.4,2.9,230.7,54.58,,28.4
