구분,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21
인원수,0명,교동:1명,조양동:1명,0명,0명,0명,조양동:2명,중앙동:1명,0명,0명,교동:4명,교동:8명,교동: 11명,교동:6명,교동:42명,교동:4명,노학동:1명,교동:3명,교동:20명
인원수,,금호동:1명,,,,,,,,,조양동:25명,금호동:1명,금호동:1명,금호동:3명,금호동:6명,조양동:4명,조양동:6명,금호동:2명,동명동:8명
인원수,,,,,,,,,,,,조양동:7명,영랑동:2명,조양동:8명,대포동:1명,타지역:4명,중앙동:2명,동명동:7명,설악동:2명
인원수,,,,,,,,,,,,청호동:5명,조양동:6명,청호동:2명,동명동:1명,,청학동:1명,영랑동:1명,조양동:25명
인원수,,,,,,,,,,,,타지역:3명,청호동:4명,,설악동:1명,,타지역:3명,조양동:11명,중앙동:1명
인원수,,,,,,,,,,,,,타지역:5명,,영랑동:2명,,,청학동:1명,타지역:4명
인원수,,,,,,,,,,,,,,,장사동:1명,,,타지역:1명,
인원수,,,,,,,,,,,,,,,조양동:61명,,,,
인원수,,,,,,,,,,,,,,,중앙동:2명,,,,
인원수,,,,,,,,,,,,,,,청학동:1명,,,,
인원수,,,,,,,,,,,,,,,타지역:3명,,,,
