년,월,확진자 수,사망자,데이터기준일
2020,1,0,0,2022-01-25
2020,2,2,0,2022-01-25
2020,3,3,0,2022-01-25
2020,4,2,0,2022-01-25
2020,5,0,0,2022-01-25
2020,6,3,0,2022-01-25
2020,7,0,0,2022-01-25
2020,8,17,0,2022-01-25
2020,9,3,0,2022-01-25
2020,10,1,0,2022-01-25
2020,11,54,1,2022-01-25
2020,12,77,1,2022-01-25
2021,1,34,2,2022-01-25
2021,2,19,1,2022-01-25
2021,3,28,1,2022-01-25
2021,4,24,0,2022-01-25
2021,5,77,0,2022-01-25
2021,6,175,1,2022-01-25
2021,7,78,1,2022-01-25
2021,8,118,1,2022-01-25
2021,9,87,0,2022-01-25
2021,10,142,0,2022-01-25
2021,11,370,2,2022-01-25
2021,12,717,10,2022-01-25
