지역,연도,월,확진자,사망자,데이터기준일자
평창군,2021,07,4,0,2022-02-07
평창군,2021,08,1,0,2022-02-07
평창군,2021,09,0,0,2022-02-07
평창군,2021,10,0,0,2022-02-07
평창군,2021,11,3,0,2022-02-07
평창군,2021,12,20,0,2022-02-07
평창군,2022,01,14,0,2022-02-07
평창군,2022,02,1,0,2022-02-07
평창군,2022,03,86,0,2022-02-07
평창군,2022,04,24,0,2022-02-07
평창군,2022,05,27,0,2022-02-07
평창군,2022,06,6,0,2022-02-07
평창군,2022,07,10,0,2022-02-07
평창군,2022,08,5,0,2022-02-07
평창군,2022,09,16,0,2022-02-07
평창군,2022,10,16,0,2022-02-07
평창군,2022,11,12,0,2022-02-07
평창군,2022,12,48,0,2022-02-07
