시도,시군구,발생연도,발생월,확진자수,사망자수,데이터기준일자
경상남도,거제시,2020,02,3,0,2022-02-21
경상남도,거제시,2020,03,3,0,2022-02-21
경상남도,거제시,2020,04,1,0,2022-02-21
경상남도,거제시,2020,05,3,0,2022-02-21
경상남도,거제시,2020,06,3,0,2022-02-21
경상남도,거제시,2020,07,5,0,2022-02-21
경상남도,거제시,2020,08,23,0,2022-02-21
경상남도,거제시,2020,09,1,0,2022-02-21
경상남도,거제시,2020,10,2,0,2022-02-21
경상남도,거제시,2020,11,3,0,2022-02-21
경상남도,거제시,2020,12,117,1,2022-02-21
경상남도,거제시,2021,01,77,2,2022-02-21
경상남도,거제시,2021,02,21,0,2022-02-21
경상남도,거제시,2021,03,207,0,2022-02-21
경상남도,거제시,2021,04,32,0,2022-02-21
경상남도,거제시,2021,05,20,0,2022-02-21
경상남도,거제시,2021,06,14,0,2022-02-21
경상남도,거제시,2021,07,125,1,2022-02-21
경상남도,거제시,2021,08,149,0,2022-02-21
경상남도,거제시,2021,09,112,0,2022-02-21
경상남도,거제시,2021,10,158,3,2022-02-21
경상남도,거제시,2021,11,127,1,2022-02-21
경상남도,거제시,2021,12,458,0,2022-02-21
