발생월,확진자수,사망자수,관리기관,부서명,연락처
2020-02-29,1,0,남해군,보건소,055-860-8734
2020-03-31,0,0,남해군,보건소,055-860-8734
2020-04-30,0,0,남해군,보건소,055-860-8734
2020-05-31,0,1,남해군,보건소,055-860-8734
2020-06-30,0,0,남해군,보건소,055-860-8734
2020-07-31,0,0,남해군,보건소,055-860-8734
2020-08-31,0,0,남해군,보건소,055-860-8734
2020-09-30,0,0,남해군,보건소,055-860-8734
2020-10-31,0,0,남해군,보건소,055-860-8734
2020-11-30,1,0,남해군,보건소,055-860-8734
2020-12-31,0,0,남해군,보건소,055-860-8734
2021-01-31,3,0,남해군,보건소,055-860-8734
2021-02-28,4,0,남해군,보건소,055-860-8734
2021-03-31,17,0,남해군,보건소,055-860-8734
2021-04-30,2,0,남해군,보건소,055-860-8734
2021-05-31,2,0,남해군,보건소,055-860-8734
2021-06-30,20,0,남해군,보건소,055-860-8734
2021-07-31,15,0,남해군,보건소,055-860-8734
2021-08-31,20,0,남해군,보건소,055-860-8734
2021-09-30,4,0,남해군,보건소,055-860-8734
2021-10-31,4,0,남해군,보건소,055-860-8734
2021-11-30,9,0,남해군,보건소,055-860-8734
2021-12-31,27,0,남해군,보건소,055-860-8734
