시군구명,발생연도,발생월,확진자수,사망자수,데이터 기준일
경상남도 양산시,="2020",="01",0,0,2022-02-04
경상남도 양산시,="2020",="02",2,0,2022-02-04
경상남도 양산시,="2020",="03",1,0,2022-02-04
경상남도 양산시,="2020",="04",0,0,2022-02-04
경상남도 양산시,="2020",="05",0,0,2022-02-04
경상남도 양산시,="2020",="06",5,0,2022-02-04
경상남도 양산시,="2020",="07",4,0,2022-02-04
경상남도 양산시,="2020",="08",9,0,2022-02-04
경상남도 양산시,="2020",="09",5,0,2022-02-04
경상남도 양산시,="2020",="10",1,0,2022-02-04
경상남도 양산시,="2020",="11",9,0,2022-02-04
경상남도 양산시,="2020",="12",48,0,2022-02-04
경상남도 양산시,="2021",="01",98,0,2022-02-04
경상남도 양산시,="2021",="02",24,0,2022-02-04
경상남도 양산시,="2021",="03",16,0,2022-02-04
경상남도 양산시,="2021",="04",109,0,2022-02-04
경상남도 양산시,="2021",="05",118,0,2022-02-04
경상남도 양산시,="2021",="06",72,1,2022-02-04
경상남도 양산시,="2021",="07",139,0,2022-02-04
경상남도 양산시,="2021",="08",135,0,2022-02-04
경상남도 양산시,="2021",="09",244,0,2022-02-04
경상남도 양산시,="2021",="10",166,0,2022-02-04
경상남도 양산시,="2021",="11",280,0,2022-02-04
경상남도 양산시,="2021",="12",1023,2,2022-02-04
