시군구명,기준연도,발생월,확진자 수,사망자 수,관리기관명,관리기관 전화번호,데이터기준일
경상남도 통영시,2020,07,1,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2020,08,0,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2020,09,1,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2020,10,2,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2020,11,0,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2020,12,6,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,01,2,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,02,4,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,03,18,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,04,13,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,05,14,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,06,6,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,07,57,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,08,74,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,09,9,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,10,17,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,11,70,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2021,12,261,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2022,01,213,0,경상남도 통영시청 보건소,055-650-6060,2022-03-03
경상남도 통영시,2022,02,4946,1,경상남도 통영시청 보건소,055-650-6060,2022-03-03
