년도별,월별,시도,시군구,확진자수,사망자수
2020,01,경상남도,함양군,0,0
2020,02,경상남도,함양군,1,0
2020,03,경상남도,함양군,0,0
2020,04,경상남도,함양군,0,0
2020,05,경상남도,함양군,0,0
2020,06,경상남도,함양군,6,0
2020,07,경상남도,함양군,0,0
2020,08,경상남도,함양군,0,0
2020,09,경상남도,함양군,0,0
2020,10,경상남도,함양군,0,0
2020,11,경상남도,함양군,0,0
2020,12,경상남도,함양군,0,0
2021,01,경상남도,함양군,6,0
2021,02,경상남도,함양군,0,0
2021,03,경상남도,함양군,0,0
2021,04,경상남도,함양군,1,0
2021,05,경상남도,함양군,13,0
2021,06,경상남도,함양군,1,0
2021,07,경상남도,함양군,38,0
2021,08,경상남도,함양군,18,0
2021,09,경상남도,함양군,1,0
2021,10,경상남도,함양군,0,0
2021,11,경상남도,함양군,60,1
2021,12,경상남도,함양군,7,0
