연번,날짜(년),날짜(월),코로나19 확진자수,코로나19 사망자수,데이터기준일
1,2020,01,0,0,2022-02-08
2,2020,02,3,0,2022-02-08
3,2020,03,1,1,2022-02-08
4,2020,04,1,0,2022-02-08
5,2020,05,0,0,2022-02-08
6,2020,06,0,0,2022-02-08
7,2020,07,0,0,2022-02-08
8,2020,08,4,0,2022-02-08
9,2020,09,2,0,2022-02-08
10,2020,10,1,0,2022-02-08
11,2020,11,4,0,2022-02-08
12,2020,12,2,0,2022-02-08
13,2021,01,0,0,2022-02-08
14,2021,02,0,0,2022-02-08
15,2021,03,1,0,2022-02-08
16,2021,04,4,0,2022-02-08
17,2021,05,7,0,2022-02-08
18,2021,06,2,0,2022-02-08
19,2021,07,19,0,2022-02-08
20,2021,08,15,1,2022-02-08
21,2021,09,11,0,2022-02-08
22,2021,10,8,0,2022-02-08
23,2021,11,85,1,2022-02-08
24,2021,12,115,6,2022-02-08
