지역,확진일,확진자수(명),사망자수(명)
영양군,2020-03-30,1,0
영양군,2020-12-20,2,0
영양군,2020-12-30,3,0
영양군,2021-04-20,4,0
영양군,2021-06-03,5,0
영양군,2021-06-03,6,0
영양군,2021-06-03,7,0
영양군,2021-07-07,8,0
영양군,2021-07-09,9,0
영양군,2021-08-24,10,0
영양군,2021-09-26,11,0
영양군,2021-10-23,12,0
영양군,2021-11-06,13,0
영양군,2021-11-23,14,0
영양군,2021-11-23,15,0
영양군,2021-11-26,16,0
영양군,2021-12-02,17,0
영양군,2021-12-15,18,0
영양군,2021-12-16,19,0
영양군,2021-12-19,20,0
영양군,2021-12-19,21,0
영양군,2021-12-23,22,0
영양군,2021-12-24,23,0
영양군,2021-12-25,24,0
영양군,2021-12-25,25,0
영양군,2021-12-26,26,0
영양군,2021-12-29,27,0
영양군,2021-12-29,28,0
