시도,시군구,날짜,확진자 수(명),사망자 수(명)
경상북도,청송군,2020-01-31,0,0
경상북도,청송군,2020-02-28,1,0
경상북도,청송군,2020-03-31,1,0
경상북도,청송군,2020-04-30,0,0
경상북도,청송군,2020-05-31,0,0
경상북도,청송군,2020-06-30,0,0
경상북도,청송군,2020-07-31,0,0
경상북도,청송군,2020-08-31,0,0
경상북도,청송군,2020-09-30,0,0
경상북도,청송군,2020-10-31,0,0
경상북도,청송군,2020-11-30,2,0
경상북도,청송군,2020-12-31,34,0
경상북도,청송군,2021-01-31,3,0
경상북도,청송군,2021-02-28,1,1
경상북도,청송군,2021-03-31,5,0
경상북도,청송군,2021-04-30,0,0
경상북도,청송군,2021-05-31,9,0
경상북도,청송군,2021-06-30,4,0
경상북도,청송군,2021-07-31,0,0
경상북도,청송군,2021-08-31,1,0
경상북도,청송군,2021-09-30,1,0
경상북도,청송군,2021-10-31,1,0
경상북도,청송군,2021-11-30,1,0
경상북도,청송군,2021-12-31,19,0
