연월,월별 확진자수,누적 확진자수,월별 사망자수,누적 사망자수,시군구,데이터기준일자
2020-02,459,459,4,4,달서구,2021-12-31
2020-03,1132,1591,22,26,달서구,2021-12-31
2020-04,22,1613,4,30,달서구,2021-12-31
2020-05,13,1626,0,30,달서구,2021-12-31
2020-06,8,1634,0,30,달서구,2021-12-31
2020-07,10,1644,0,30,달서구,2021-12-31
2020-08,17,1661,0,30,달서구,2021-12-31
2020-09,12,1673,1,31,달서구,2021-12-31
2020-10,6,1679,0,31,달서구,2021-12-31
2020-11,10,1689,0,31,달서구,2021-12-31
2020-12,136,1825,0,31,달서구,2021-12-31
2021-01,107,1932,0,31,달서구,2021-12-31
2021-02,36,1968,0,31,달서구,2021-12-31
2021-03,65,2033,0,31,달서구,2021-12-31
2021-04,89,2122,1,32,달서구,2021-12-31
2021-05,181,2303,0,32,달서구,2021-12-31
2021-06,158,2461,0,32,달서구,2021-12-31
2021-07,247,2708,0,32,달서구,2021-12-31
2021-08,454,3162,2,34,달서구,2021-12-31
2021-09,525,3687,8,42,달서구,2021-12-31
2021-10,341,4028,1,43,달서구,2021-12-31
2021-11,285,4313,1,44,달서구,2021-12-31
2021-12,931,5244,7,51,달서구,2021-12-31
