연번,상위기관,시군구명,발생연도,발생월,확진자수,사망자수,관리부서,데이터기준일자
1,대구광역시,달성군,2020,02,231,3,달성군보건소 보건과,2022-02-21
2,대구광역시,달성군,2020,03,371,23,달성군보건소 보건과,2022-02-21
3,대구광역시,달성군,2020,04,69,3,달성군보건소 보건과,2022-02-21
4,대구광역시,달성군,2020,05,4,0,달성군보건소 보건과,2022-02-21
5,대구광역시,달성군,2020,06,9,0,달성군보건소 보건과,2022-02-21
6,대구광역시,달성군,2020,07,4,0,달성군보건소 보건과,2022-02-21
7,대구광역시,달성군,2020,08,3,0,달성군보건소 보건과,2022-02-21
8,대구광역시,달성군,2020,09,8,0,달성군보건소 보건과,2022-02-21
9,대구광역시,달성군,2020,10,7,0,달성군보건소 보건과,2022-02-21
10,대구광역시,달성군,2020,11,12,0,달성군보건소 보건과,2022-02-21
11,대구광역시,달성군,2020,12,53,1,달성군보건소 보건과,2022-02-21
12,대구광역시,달성군,2021,01,26,0,달성군보건소 보건과,2022-02-21
13,대구광역시,달성군,2021,02,25,0,달성군보건소 보건과,2022-02-21
14,대구광역시,달성군,2021,03,16,1,달성군보건소 보건과,2022-02-21
15,대구광역시,달성군,2021,04,43,0,달성군보건소 보건과,2022-02-21
16,대구광역시,달성군,2021,05,64,0,달성군보건소 보건과,2022-02-21
17,대구광역시,달성군,2021,06,44,0,달성군보건소 보건과,2022-02-21
18,대구광역시,달성군,2021,07,78,0,달성군보건소 보건과,2022-02-21
19,대구광역시,달성군,2021,08,204,0,달성군보건소 보건과,2022-02-21
20,대구광역시,달성군,2021,09,410,0,달성군보건소 보건과,2022-02-21
21,대구광역시,달성군,2021,10,310,0,달성군보건소 보건과,2022-02-21
22,대구광역시,달성군,2021,11,250,0,달성군보건소 보건과,2022-02-21
23,대구광역시,달성군,2021,12,338,1,달성군보건소 보건과,2022-02-21
24,대구광역시,달성군,2022,01,1204,2,달성군보건소 보건과,2022-02-21
25,대구광역시,달성군,2022,02,2515,0,달성군보건소 보건과,2022-02-21
