기관명,해당월,코로나19 확진자,코로나19 사망자
대전광역시 동구,2020-01,1,0
대전광역시 동구,2020-02,1,0
대전광역시 동구,2020-03,0,0
대전광역시 동구,2020-04,0,0
대전광역시 동구,2020-05,0,0
대전광역시 동구,2020-06,13,0
대전광역시 동구,2020-07,3,0
대전광역시 동구,2020-08,9,0
대전광역시 동구,2020-09,36,1
대전광역시 동구,2020-10,0,0
대전광역시 동구,2020-11,8,0
대전광역시 동구,2020-12,55,0
대전광역시 동구,2021-01,30,1
대전광역시 동구,2021-02,12,1
대전광역시 동구,2021-03,16,0
대전광역시 동구,2021-04,83,0
대전광역시 동구,2021-05,37,0
대전광역시 동구,2021-06,83,1
대전광역시 동구,2021-07,209,2
대전광역시 동구,2021-08,188,2
대전광역시 동구,2021-09,210,1
대전광역시 동구,2021-10,125,0
대전광역시 동구,2021-11,110,0
대전광역시 동구,2021-12,552,22
