연번,시도,시군구,연,월,확진자,사망자,데이터기준일자
1,대전광역시,중구,2020,04,1,0,2022-02-09
2,대전광역시,중구,2020,05,0,0,2022-02-09
3,대전광역시,중구,2020,06,10,0,2022-02-09
4,대전광역시,중구,2020,07,7,0,2022-02-09
5,대전광역시,중구,2020,08,22,0,2022-02-09
6,대전광역시,중구,2020,09,6,0,2022-02-09
7,대전광역시,중구,2020,10,14,0,2022-02-09
8,대전광역시,중구,2020,11,12,0,2022-02-09
9,대전광역시,중구,2020,12,45,0,2022-02-09
10,대전광역시,중구,2021,01,128,0,2022-02-09
11,대전광역시,중구,2021,02,26,1,2022-02-09
12,대전광역시,중구,2021,03,14,1,2022-02-09
13,대전광역시,중구,2021,04,43,0,2022-02-09
14,대전광역시,중구,2021,05,43,0,2022-02-09
15,대전광역시,중구,2021,06,90,1,2022-02-09
16,대전광역시,중구,2021,07,157,0,2022-02-09
17,대전광역시,중구,2021,08,187,1,2022-02-09
18,대전광역시,중구,2021,09,173,1,2022-02-09
19,대전광역시,중구,2021,10,51,1,2022-02-09
20,대전광역시,중구,2021,11,139,7,2022-02-09
21,대전광역시,중구,2021,12,725,28,2022-02-09
