년도,월, 확진자 수 ,사망자수,데이터기준일자
2020,01,,,2022-02-07
2020,02,2,,2022-02-07
2020,03,13,,2022-02-07
2020,04,2,,2022-02-07
2020,05,31,,2022-02-07
2020,06,35,,2022-02-07
2020,07,11,,2022-02-07
2020,08,47,,2022-02-07
2020,09,31,1,2022-02-07
2020,10,27,,2022-02-07
2020,11,41,,2022-02-07
2020,12,413,7,2022-02-07
2021,01,193,2,2022-02-07
2021,02,92,,2022-02-07
2021,03,74,,2022-02-07
2021,04,115,,2022-02-07
2021,05,125,1,2022-02-07
2021,06,139,,2022-02-07
2021,07,393,,2022-02-07
2021,08,506,3,2022-02-07
2021,09,726,,2022-02-07
2021,10,703,3,2022-02-07
2021,11,1200,5,2022-02-07
2021,12,2202,13,2022-02-07
,,,,
