구분,날짜,확진자 수(명)
인천광역시 서구,2020-02-28,1
인천광역시 서구,2020-03-09,2
인천광역시 서구,2020-03-21,1
인천광역시 서구,2020-03-31,1
인천광역시 서구,2020-04-02,1
인천광역시 서구,2020-04-03,3
인천광역시 서구,2020-04-07,2
인천광역시 서구,2020-04-16,1
인천광역시 서구,2020-05-09,1
인천광역시 서구,2020-05-12,1
인천광역시 서구,2020-05-24,1
인천광역시 서구,2020-06-01,1
인천광역시 서구,2020-06-05,1
인천광역시 서구,2020-06-13,1
인천광역시 서구,2020-06-14,1
인천광역시 서구,2020-07-05,1
인천광역시 서구,2020-07-06,2
인천광역시 서구,2020-07-10,1
인천광역시 서구,2020-07-15,1
인천광역시 서구,2020-07-20,1
인천광역시 서구,2020-07-21,2
인천광역시 서구,2020-07-22,2
인천광역시 서구,2020-07-27,2
인천광역시 서구,2020-08-13,1
인천광역시 서구,2020-08-14,1
인천광역시 서구,2020-08-16,1
인천광역시 서구,2020-08-17,5
인천광역시 서구,2020-08-18,3
인천광역시 서구,2020-08-19,3
인천광역시 서구,2020-08-20,4
인천광역시 서구,2020-08-21,3
인천광역시 서구,2020-08-22,3
인천광역시 서구,2020-08-23,7
인천광역시 서구,2020-08-24,10
인천광역시 서구,2020-08-25,8
인천광역시 서구,2020-08-26,33
인천광역시 서구,2020-08-27,4
인천광역시 서구,2020-08-28,5
인천광역시 서구,2020-08-29,4
인천광역시 서구,2020-08-30,5
인천광역시 서구,2020-08-31,4
인천광역시 서구,2020-09-01,2
인천광역시 서구,2020-09-02,3
인천광역시 서구,2020-09-03,1
인천광역시 서구,2020-09-05,1
인천광역시 서구,2020-09-07,1
인천광역시 서구,2020-09-08,1
인천광역시 서구,2020-09-11,1
인천광역시 서구,2020-09-13,4
인천광역시 서구,2020-09-15,1
인천광역시 서구,2020-09-16,1
인천광역시 서구,2020-09-18,1
인천광역시 서구,2020-09-19,1
인천광역시 서구,2020-09-24,2
인천광역시 서구,2020-09-25,1
