"구분	",날짜,확진자수(명),사망자수(명),데이터기준일자
인천광역시 서구,2020-02,1,0,2022-02-21
인천광역시 서구,2020-03,4,0,2022-02-21
인천광역시 서구,2020-04,7,0,2022-02-21
인천광역시 서구,2020-05,3,0,2022-02-21
인천광역시 서구,2020-06,4,0,2022-02-21
인천광역시 서구,2020-07,12,0,2022-02-21
인천광역시 서구,2020-08,104,0,2022-02-21
인천광역시 서구,2020-09,24,0,2022-02-21
인천광역시 서구,2020-10,13,0,2022-02-21
인천광역시 서구,2020-11,77,0,2022-02-21
인천광역시 서구,2020-12,285,3,2022-02-21
인천광역시 서구,2021-01,139,1,2022-02-21
인천광역시 서구,2021-02,149,0,2022-02-21
인천광역시 서구,2021-03,155,0,2022-02-21
인천광역시 서구,2021-04,97,1,2022-02-21
인천광역시 서구,2021-05,88,0,2022-02-21
인천광역시 서구,2021-06,89,0,2022-02-21
인천광역시 서구,2021-07,378,2,2022-02-21
인천광역시 서구,2021-08,532,3,2022-02-21
인천광역시 서구,2021-09,757,1,2022-02-21
인천광역시 서구,2021-10,534,3,2022-02-21
인천광역시 서구,2021-11,771,5,2022-02-21
인천광역시 서구,2021-12,1968,18,2022-02-21
