지역명,월구분,확진자수,누적확진자수,사망자수,데이터기준일자
전라남도 나주시,2020-01,,0,0,2022-02-28
전라남도 나주시,2020-02,1,1,0,2022-02-28
전라남도 나주시,2020-03,,1,0,2022-02-28
전라남도 나주시,2020-04,,1,0,2022-02-28
전라남도 나주시,2020-05,,1,0,2022-02-28
전라남도 나주시,2020-06,,1,0,2022-02-28
전라남도 나주시,2020-07,,1,0,2022-02-28
전라남도 나주시,2020-08,2,3,0,2022-02-28
전라남도 나주시,2020-09,,3,0,2022-02-28
전라남도 나주시,2020-10,2,5,0,2022-02-28
전라남도 나주시,2020-11,26,31,0,2022-02-28
전라남도 나주시,2020-12,8,39,0,2022-02-28
전라남도 나주시,2021-01,21,60,0,2022-02-28
전라남도 나주시,2021-02,12,72,0,2022-02-28
전라남도 나주시,2021-03,4,76,0,2022-02-28
전라남도 나주시,2021-04,6,82,0,2022-02-28
전라남도 나주시,2021-05,15,97,0,2022-02-28
전라남도 나주시,2021-06,4,101,0,2022-02-28
전라남도 나주시,2021-07,20,121,0,2022-02-28
전라남도 나주시,2021-08,37,158,0,2022-02-28
전라남도 나주시,2021-09,40,198,0,2022-02-28
전라남도 나주시,2021-10,27,225,0,2022-02-28
전라남도 나주시,2021-11,137,362,0,2022-02-28
전라남도 나주시,2021-12,135,497,0,2022-02-28
