연번,시도,시군구,년,월,확진자 수,사망자 수,데이터기준일자
1,전라남도,화순군,2020년,03월,1,0,2022-01-26
2,전라남도,화순군,2020년,04월,0,0,2022-01-26
3,전라남도,화순군,2020년,05월,0,0,2022-01-26
4,전라남도,화순군,2020년,06월,0,0,2022-01-26
5,전라남도,화순군,2020년,07월,0,0,2022-01-26
6,전라남도,화순군,2020년,08월,4,0,2022-01-26
7,전라남도,화순군,2020년,09월,0,0,2022-01-26
8,전라남도,화순군,2020년,10월,0,0,2022-01-26
9,전라남도,화순군,2020년,11월,7,0,2022-01-26
10,전라남도,화순군,2020년,12월,28,2,2022-01-26
11,전라남도,화순군,2021년,01월,15,1,2022-01-26
12,전라남도,화순군,2021년,02월,3,0,2022-01-26
13,전라남도,화순군,2021년,03월,8,0,2022-01-26
14,전라남도,화순군,2021년,04월,0,0,2022-01-26
15,전라남도,화순군,2021년,05월,11,0,2022-01-26
16,전라남도,화순군,2021년,06월,12,0,2022-01-26
17,전라남도,화순군,2021년,07월,8,0,2022-01-26
18,전라남도,화순군,2021년,08월,8,0,2022-01-26
19,전라남도,화순군,2021년,09월,5,0,2022-01-26
20,전라남도,화순군,2021년,10월,19,0,2022-01-26
21,전라남도,화순군,2021년,11월,38,1,2022-01-26
22,전라남도,화순군,2021년,12월,75,1,2022-01-26
