발생년,발생월,확진자수,사망자수,관리기관,담당부서,연락처
2020,04월,2,0,충청남도 논산시,감염병관리과,041-746-8046
2020,06월,4,1,충청남도 논산시,감염병관리과,041-746-8046
2020,07월,2,0,충청남도 논산시,감염병관리과,041-746-8046
2020,08월,3,0,충청남도 논산시,감염병관리과,041-746-8046
2020,09월,12,0,충청남도 논산시,감염병관리과,041-746-8046
2020,10월,1,0,충청남도 논산시,감염병관리과,041-746-8046
2020,11월,4,0,충청남도 논산시,감염병관리과,041-746-8046
2020,12월,21,0,충청남도 논산시,감염병관리과,041-746-8046
2021,01월,3,0,충청남도 논산시,감염병관리과,041-746-8046
2021,02월,5,0,충청남도 논산시,감염병관리과,041-746-8046
2021,03월,5,0,충청남도 논산시,감염병관리과,041-746-8046
2021,04월,17,0,충청남도 논산시,감염병관리과,041-746-8046
2021,05월,8,0,충청남도 논산시,감염병관리과,041-746-8046
2021,06월,17,0,충청남도 논산시,감염병관리과,041-746-8046
2021,07월,128,0,충청남도 논산시,감염병관리과,041-746-8046
2021,08월,236,2,충청남도 논산시,감염병관리과,041-746-8046
2021,09월,195,0,충청남도 논산시,감염병관리과,041-746-8046
2021,10월,127,0,충청남도 논산시,감염병관리과,041-746-8046
2021,11월,128,5,충청남도 논산시,감염병관리과,041-746-8046
2021,12월,202,1,충청남도 논산시,감염병관리과,041-746-8046
