날짜,확진자수,누적확진자수,사망자수,누적사망자수
2020-01-31,0,0,0,0
2020-02-29,0,0,0,0
2020-03-31,8,8,0,0
2020-04-30,0,8,0,0
2020-05-31,1,9,0,0
2020-06-30,0,9,0,0
2020-07-31,2,11,0,0
2020-08-31,10,21,0,0
2020-09-30,4,25,1,1
2020-10-31,1,26,0,2
2020-11-30,26,52,0,1
2020-12-31,92,144,1,2
2021-01-31,16,160,0,2
2021-02-28,13,173,0,2
2021-03-31,31,204,0,2
2021-04-30,11,215,0,2
2021-05-31,51,266,0,2
2021-06-30,51,317,0,2
2021-07-31,108,425,0,2
2021-08-31,184,609,2,4
2021-09-30,106,715,0,4
2021-10-31,76,791,0,4
2021-11-30,60,851,0,4
2021-12-31,257,1108,0,4
