시군명,기준연월,확진자수,사망자수
충청남도 청양군,2020-08-25,1,0
충청남도 청양군,2020-09-02,1,0
충청남도 청양군,2020-09-03,9,0
충청남도 청양군,2020-09-04,1,0
충청남도 청양군,2020-09-06,1,0
충청남도 청양군,2020-09-11,1,0
충청남도 청양군,2020-09-13,3,0
충청남도 청양군,2020-12-01,2,0
충청남도 청양군,2020-12-02,1,0
충청남도 청양군,2020-12-05,1,0
충청남도 청양군,2020-12-06,16,0
충청남도 청양군,2020-12-07,2,0
충청남도 청양군,2020-12-08,1,0
충청남도 청양군,2020-12-10,1,0
충청남도 청양군,2021-01-03,1,0
충청남도 청양군,2021-01-08,1,0
충청남도 청양군,2021-01-29,1,0
충청남도 청양군,2021-02-05,5,0
충청남도 청양군,2021-02-06,3,0
충청남도 청양군,2021-02-07,2,0
충청남도 청양군,2021-02-08,5,0
충청남도 청양군,2021-02-09,1,0
충청남도 청양군,2021-02-13,2,0
충청남도 청양군,2021-02-22,1,0
충청남도 청양군,2021-02-24,1,0
충청남도 청양군,2021-04-02,1,0
충청남도 청양군,2021-07-07,3,0
충청남도 청양군,2021-07-08,1,0
충청남도 청양군,2021-07-12,2,0
충청남도 청양군,2021-07-13,1,0
충청남도 청양군,2021-07-16,1,0
충청남도 청양군,2021-07-18,1,0
충청남도 청양군,2021-07-29,1,0
충청남도 청양군,2021-09-01,1,0
충청남도 청양군,2021-09-14,2,0
충청남도 청양군,2021-10-05,1,0
충청남도 청양군,2021-10-07,1,1
충청남도 청양군,2021-10-09,1,0
충청남도 청양군,2021-10-29,1,0
충청남도 청양군,2021-11-11,2,0
충청남도 청양군,2021-11-16,1,0
충청남도 청양군,2021-11-19,1,0
충청남도 청양군,2021-11-23,2,0
충청남도 청양군,2021-11-24,1,0
충청남도 청양군,2021-11-27,1,0
충청남도 청양군,2021-12-01,1,0
충청남도 청양군,2021-12-06,2,0
충청남도 청양군,2021-12-07,6,0
충청남도 청양군,2021-12-08,5,0
충청남도 청양군,2021-12-09,2,0
충청남도 청양군,2021-12-10,3,0
충청남도 청양군,2021-12-11,3,0
충청남도 청양군,2021-12-12,3,0
충청남도 청양군,2021-12-13,4,0
충청남도 청양군,2021-12-14,1,0
충청남도 청양군,2021-12-15,3,0
충청남도 청양군,2021-12-18,2,0
충청남도 청양군,2021-12-19,2,0
충청남도 청양군,2021-12-20,1,0
충청남도 청양군,2021-12-21,3,0
충청남도 청양군,2021-12-24,2,0
충청남도 청양군,2021-12-25,1,0
충청남도 청양군,2021-12-26,3,0
충청남도 청양군,2021-12-27,1,0
