기관명,기준월,확진자수,사망자수,관리부서
충청북도 제천시,2020-08-01,2,0,제천시 보건소 감염병관리과
충청북도 제천시,2020-09-01,0,0,제천시 보건소 감염병관리과
충청북도 제천시,2020-10-01,1,0,제천시 보건소 감염병관리과
충청북도 제천시,2020-11-01,68,1,제천시 보건소 감염병관리과
충청북도 제천시,2020-12-01,184,11,제천시 보건소 감염병관리과
충청북도 제천시,2021-01-01,8,0,제천시 보건소 감염병관리과
충청북도 제천시,2021-02-01,4,0,제천시 보건소 감염병관리과
충청북도 제천시,2021-03-01,79,0,제천시 보건소 감염병관리과
충청북도 제천시,2021-04-01,16,0,제천시 보건소 감염병관리과
충청북도 제천시,2021-05-01,15,0,제천시 보건소 감염병관리과
충청북도 제천시,2021-06-01,10,0,제천시 보건소 감염병관리과
충청북도 제천시,2021-07-01,30,0,제천시 보건소 감염병관리과
충청북도 제천시,2021-08-01,39,0,제천시 보건소 감염병관리과
충청북도 제천시,2021-09-01,41,2,제천시 보건소 감염병관리과
충청북도 제천시,2021-10-01,39,1,제천시 보건소 감염병관리과
충청북도 제천시,2021-11-01,149,2,제천시 보건소 감염병관리과
충청북도 제천시,2021-12-01,287,3,제천시 보건소 감염병관리과
